************************************************************************************,,,,,,,,
"*** Global CO2 emissions, 1751-2022, from Global Carbon Project (GCP) 2023v36    ***",,,,,,,,
*** https://zenodo.org/record/10177738                                           ***,,,,,,,,
*** Global Carbon Project home page: https://www.globalcarbonproject.org/        ***,,,,,,,,
*** Excerpted from:                                                              ***,,,,,,,,
*** https://zenodo.org/records/10177738/files/GCB2023v36_MtCO2_flat.csv?download=1 ***,,,,,,,,
************************************************************************************,,,,,,,,
,,,,,,,,
All emission estimates are expressed in million metric tonnes of carbon (MtC).,,,,,,,,
"To convert these estimates to units of million metric tonnes Of CO2 (MtCO2),",,,,,,,,
simply multiply these estimates by (44.0095 / 12.0107).,,,,,,,,
,,,,,,,,
tabs 7 21 35 49 62 75 87 99,,,,,,,,
,,,,,,,,
A,B,C,D,E,F,G,H,I
1939,1214.796716,38.574999,228.277699,937.431455,9.731859,,,0.53126
1940,1326.717234,41.906066,239.988505,1035.364092,8.577776,,,0.574996
1941,1356.592577,41.881882,241.797984,1059.996562,11.815156,,,0.583109
1942,1353.528224,45.316671,229.634851,1067.002366,10.473343,,,0.577508
1943,1375.936509,49.91549,244.103571,1071.247554,9.488828,,,0.583064
1944,1396.736288,53.927544,279.810478,1055.631949,6.185252,,,0.587982
1945,1161.821593,59.15379,277.115233,818.198544,6.27305,,,0.48584
1946,1267.980703,61.102661,313.279211,882.609494,9.908362,,,0.526524
1947,1404.343192,67.670439,335.395499,988.262515,11.773619,,,0.578699
1948,1480.532142,76.467457,368.211981,1020.439709,14.091803,,,0.604889
1949,1413.956204,82.016329,347.229106,967.689336,15.880404,,,0.572088
1950,1618.18571,96.404385,429.903616,1052.165853,18.257675,20.092952,,0.64745
1951,1741.559222,113.608074,476.201375,1107.772131,20.677408,21.798879,,0.684809
1952,1765.038147,122.038876,502.349074,1093.855527,22.036584,23.296766,,0.681411
1953,1815.096743,129.527902,533.861776,1103.306617,24.438044,22.200815,,0.687464
1954,1852.932111,136.849222,564.687962,1102.143405,26.5089,21.181213,,0.688316
1955,2031.515438,149.373211,631.421626,1193.070818,29.320433,26.427633,,0.739789
1956,2163.09145,160.293564,685.263987,1254.299487,31.790809,29.521869,,0.772256
1957,2233.94834,176.524494,715.704185,1277.405704,33.418444,29.033834,,0.781684
1958,2297.139929,192.676821,744.192138,1297.236515,35.394998,25.957938,,0.787742
1959,2416.539421,206.980545,792.533234,1350.100399,39.638979,25.024222,,0.813569
1960,2561.662607,227.806648,853.041023,1406.025924,42.95459,24.327392,,0.848448
1961,2569.293513,240.764197,904.227289,1348.000807,44.797119,23.530022,,0.837348
1962,2659.947504,264.142039,971.998553,1343.959928,48.132528,23.451505,,0.850724
1963,2801.722657,285.740579,1038.839567,1393.01973,50.75728,24.700182,,0.876695
1964,2953.890164,314.680834,1120.855853,1421.761536,56.26317,30.782201,,0.904101
1965,3086.544608,335.88032,1204.034366,1442.531242,59.075162,35.599347,,0.924915
1966,3237.197016,365.711167,1299.386471,1459.159666,63.600858,39.453752,,0.950323
1967,3339.435133,391.117386,1385.335369,1435.286162,65.477148,52.066861,,0.960865
1968,3521.742013,425.671037,1509.012135,1451.197576,69.709312,55.61944,,0.992932
1969,3755.491741,466.318748,1631.860816,1505.413141,73.916574,66.599919,,1.037241
1970,4065.878656,488.745597,1855.83747,1554.660308,78.731902,75.79979,,1.100257
1971,4230.888975,527.673671,1965.375495,1555.12582,82.798758,87.726615,,1.122203
1972,4427.56376,560.081531,2119.107637,1552.827789,87.756518,94.670795,,1.151572
1973,4662.284294,601.525196,2244.300412,1599.682523,92.931489,109.755048,,1.189282
1974,4642.056509,616.565104,2212.055446,1599.267536,93.062013,106.809207,,1.161816
1975,4653.135959,615.638555,2193.270694,1646.934085,92.528345,91.891276,,1.143435
1976,4908.380739,651.481981,2330.275684,1708.435788,96.623872,107.913268,,1.184882
1977,5047.403666,666.293709,2412.234056,1750.022839,101.184411,104.107175,,1.197267
1978,5202.773142,696.109337,2498.77575,1779.784964,107.681261,106.482655,,1.212864
1979,5349.885335,733.962667,2530.689252,1863.528486,109.097958,98.288975,,1.225469
1980,5316.982685,752.82097,2442.098677,1912.693786,109.851619,86.36265,,1.196439
1981,5189.944646,762.710793,2332.515744,1907.373838,109.879645,64.727344,,1.147043
1982,5148.57787,745.50218,2276.400944,1940.728013,109.369264,64.292813,,1.117316
1983,5181.471385,753.504427,2253.317848,1991.599946,111.787541,58.088566,,1.104348
1984,5360.454228,821.729044,2271.650742,2087.950522,113.901172,50.96689,,1.122412
1985,5541.504247,852.016026,2271.188655,2238.403467,115.292281,49.51937,,1.139821
1986,5624.027869,831.329355,2339.215372,2270.796682,120.10267,46.304881,,1.136153
1987,5798.219134,902.769464,2358.795468,2346.620393,125.240442,44.487114,,1.150216
1988,6025.172894,945.980766,2445.37042,2426.984307,131.875396,50.628408,,1.173973
1989,6107.478817,993.495696,2487.979435,2426.645143,134.571371,41.123232,,1.169185
1990,6209.474254,1045.345259,2523.095519,2374.820809,134.716561,70.630208,60.865899,1.168034
1991,6339.591609,1066.900162,2649.555744,2351.020675,138.495865,74.780934,58.83823,1.172642
1992,6158.848808,1080.656582,2513.858051,2295.049385,144.24887,66.040155,58.995767,1.121282
1993,6221.932672,1109.972,2515.811396,2322.82121,150.451183,63.889171,58.987712,1.115555
1994,6286.455721,1119.465003,2525.54941,2335.881684,160.588163,85.918202,59.053258,1.110538
1995,6420.105094,1148.968939,2548.709821,2402.486644,169.829644,89.099887,61.010158,1.117858
1996,6618.149064,1199.874606,2625.828308,2462.854045,173.329017,95.672874,60.590214,1.136135
1997,6657.936191,1204.489333,2665.585911,2450.127942,180.352245,96.321973,61.058788,1.127226
1998,6640.195617,1224.174896,2700.136558,2384.136679,179.671095,91.883181,60.19321,1.109045
1999,6777.347026,1254.115289,2766.101576,2418.748214,188.448612,90.096109,59.837226,1.116944
2000,6959.595476,1291.153285,2805.003747,2512.749967,196.886371,94.765161,59.036945,1.131844
2001,7006.984534,1298.037859,2826.334647,2526.972391,205.7604,91.655791,58.223445,1.124582
2002,7163.460848,1338.5223,2821.008197,2642.892271,213.386082,88.622532,59.029468,1.134822
2003,7545.635197,1387.141137,2897.61848,2871.798757,234.706349,94.046731,60.323743,1.180131
2004,7810.780567,1435.59036,3004.902005,2968.342138,245.231694,93.513332,63.201039,1.206158
2005,8076.026083,1466.889026,3031.829867,3153.149029,263.07043,94.968621,66.11911,1.231444
2006,8352.666761,1512.910726,3059.641201,3329.308396,286.920287,94.850014,69.036136,1.257663
2007,8596.640619,1563.85222,3069.929721,3490.150918,308.161368,93.691682,70.85471,1.278131
2008,8744.604657,1608.641376,3058.147167,3603.471992,312.039026,91.359701,70.945396,1.283782
2009,8594.875581,1568.849097,2991.577173,3556.887272,320.785281,90.177397,66.599359,1.24594
2010,9089.680944,1690.170298,3092.080672,3804.596524,342.469488,93.182869,67.181092,1.301202
2011,9398.109881,1739.25393,3097.129215,4020.334447,368.206034,98.113742,75.072513,1.328707
2012,9534.288047,1774.608609,3137.996051,4065.438064,377.754652,102.973592,75.517079,1.331289
2013,9615.346521,1783.844774,3161.423779,4090.693747,393.784735,105.214838,80.384647,1.326146
2014,9679.133513,1813.943943,3171.653693,4095.333762,409.232506,105.626042,83.343569,1.31886
2015,9678.320216,1851.25574,3243.65743,4001.458459,394.205981,104.873139,82.869467,1.303197
2016,9677.449871,1902.182002,3276.83832,3909.589903,404.694131,102.135431,82.010084,1.288013
2017,9831.761067,1943.492206,3334.874963,3954.400799,410.603601,105.748539,82.640959,1.293683
2018,10034.12326,2046.296425,3347.925184,4018.689078,427.325574,111.155191,82.731807,1.305882
2019,10108.6713,2079.975439,3378.084967,4007.518343,440.963931,118.833186,83.295438,1.301833
2020,9554.015607,2061.917957,2974.72165,3882.41625,445.677263,108.760513,80.521975,1.218476
2021,10047.65894,2162.03564,3142.505538,4088.901613,461.876498,110.100417,82.239238,1.270361
2022,10138.60461,2114.64684,3241.611929,4153.52357,438.152396,108.469193,82.20068,1.271282
,,,,,,,,
"The format of this spreadsheet is akin to Boden et al (2017), NDP-030 (hereafter 'Boden 2017'):",,,,,,,,
https://cdiac.ess-dive.lbl.gov/ftp/ndp030/global.1751_2014.ems,,,,,,,,
,,,,,,,,
"However, I've substituted newer data from the Global Carbon Project (GCP).",,,,,,,,
,,,,,,,,
"I also made another, similar, spreadsheet, using data from the BP Statistical Review of World Energy 2022,",,,,,,,,
instead of GCP data:,,,,,,,,
https://sealevel.info/global.1751_2021.ems7.txt,,,,,,,,
,,,,,,,,
"Note that GCP gives emissions in MtCO2, rather than MtC. For consistency with CDIAC's global.1751_2014.ems",,,,,,,,
"spreadsheet, I converted to MtC by multipling GCP's figures by (12.0107 / 44.0095).",,,,,,,,
,,,,,,,,
GCP figures average somewhat higher than the BP figures.,,,,,,,,
,,,,,,,,
The enormous precision with which the numbers are given does not imply that they are known that precisely.,,,,,,,,
My guess is that most of them are known to within about +/- 10% (but that's just a guess).,,,,,,,,
,,,,,,,,
Land use change effects are not included in this spreadsheet.,,,,,,,,
,,,,,,,,
"The .xlsx and .txt versions of this file, respectively, are:",,,,,,,,
https://sealevel.info/carbon/global.1751_2022.ems9.xlsx,,,,,,,,
https://sealevel.info/carbon/global.1751_2022.ems9.txt,,,,,,,,
"(First set the tabs, per above, then 'save +E w:\html\sealevel\carbon\ICOS_and_GCP\global.1751_2022.ems9.txt' in SlickEdit)",,,,,,,,
,,,,,,,,
Spreadsheet prepared 12/15/2023 by Dave Burton; contact:,,,,,,,,
https://sealevel.info/contact.html,,,,,,,,
